"","match_id","team_name","fullname","role","fantasy_score_num","Bonus Point","stats_fot_mob_rating","stats_minutes_played","stats_goals","stats_assists","stats_expected_goals_x_g","stats_expected_assists_x_a","stats_expected_goals_on_target_x_got","stats_total_shots","stats_shot_accuracy","stats_chances_created"
"1",4193450,"Burnley","James Trafford","Keeper","2",NA,"6.47","90",NA,NA,NA,NA,NA,NA,NA,NA
"2",4193450,"Burnley","Connor Roberts","Defender","1",NA,"5.87","90","0","0",NA,"0.01",NA,"0",NA,"0"
"3",4193450,"Burnley","Ameen Al Dakhil","Defender","1",NA,"5.6","90","0","0",NA,"0.01",NA,"0",NA,"0"
"4",4193450,"Burnley","Dara O'Shea","Defender","1",NA,"5.77","90","0","0",NA,NA,NA,"0",NA,"0"
"5",4193450,"Burnley","Jordan Beyer","Defender","1",NA,"6.88","74","0","0",NA,NA,NA,"0",NA,"0"
"6",4193450,"Burnley"," Vitinho","Defender","1",NA,"5.61","90","0","0",NA,"0.03",NA,"0",NA,"1"
"7",4193450,"Burnley","Luca Koleosho","Midfielder","2",NA,"6.1","61","0","0","0.08","0.03",NA,"1","0/1 (0%)","2"
"8",4193450,"Burnley","Sander Berge","Midfielder","2",NA,"5.93","89","0","0",NA,NA,NA,"0",NA,"0"
"9",4193450,"Burnley","Josh Cullen","Midfielder","2",NA,"6.39","90","0","0",NA,"0.01",NA,"0",NA,"0"
"10",4193450,"Burnley","Lyle Foster","Attacker","2",NA,"6.38","89","0","0","0.15","0.04",NA,"2","0/1 (0%)","1"
"11",4193450,"Burnley","Zeki Amdouni","Attacker","2",NA,"6.69","61","0","0","0.03",NA,"0.02","1","1/1 (100%)","0"
"12",4193450,"Manchester City","Erling Haaland","Attacker","10 "," 3","8.82","80","2","0","0.57","0.05","1.12","4","2/3 (67%)","2"
"13",4193450,"Manchester City","Phil Foden","Attacker","3",NA,"7.07","90","0","0","0.29","0.15","0.33","3","1/2 (50%)","2"
"14",4193450,"Manchester City","Julián Álvarez","Attacker","5",NA,"8.23","90","0","1","0.35","0.37","0.02","3","1/2 (50%)","6"
"15",4193450,"Manchester City","Bernardo Silva","Midfielder","3",NA,"6.64","90","0","0",NA,"0.03",NA,"0",NA,"0"
